By occupation,Total Number of Workers in 2018,Median weekly earnings in 2018,Total Number of Men Workers in 2018,Median weekly earnings of men in 2018,Total Number of Women Workers in 2018,Median weekly earnings of women in 2018,Total Number of Workers in 2017,Median weekly earnings in 2017,Total Number of Men Workers in 2017,Median weekly earnings of men in 2017,Total Number of Women Workers in 2017,Median weekly earnings of women in 2017,Total Number of Workers in 2016,Median weekly earnings in 2016,Total Number of Men Workers in 2016,Median weekly earnings of men in 2016,Total Number of Women Workers in 2016,Median weekly earnings of women in 2016
Operations research analysts,125,"1,418",66,"1,566",58,"1,299",146,"1,396",71,"1,570",74,"1,205",125,"1,315",59,"1,382",66,"1,300"
Statisticians,85,"1,437",41,–,43,–,77,"1,433",36,–,41,–,65,"1,405",30,–,35,–
Miscellaneous mathematical science occupations,5,–,3,–,2,–,2,–,1,–,1,–,2,–,1,–,1,–
Architecture and engineering occupations,"2,994","1,484","2,541","1,528",453,"1,259","2,936","1,478","2,494","1,518",442,"1,307","2,835","1,482","2,437","1,529",398,"1,207"
"Architects, except naval",170,"1,464",118,"1,538",52,"1,301",196,"1,453",150,"1,650",46,–,178,"1,339",135,"1,462",43,–
"Surveyors, cartographers, and photogrammetrists",35,–,28,–,7,–,30,–,25,–,5,–,28,–,19,–,9,–
Aerospace engineers,145,"1,788",129,"1,836",16,–,137,"1,892",128,"1,891",9,–,124,"1,854",114,"1,846",10,–
Agricultural engineers,5,–,5,–,0,–,3,–,3,–,0,–,2,–,2,–,0,–
Biomedical engineers,12,–,11,–,1,–,16,–,11,–,4,–,14,–,12,–,2,–
Chemical engineers,65,"1,858",57,"1,858",8,–,78,"1,626",66,"1,631",12,–,91,"1,877",73,"1,901",18,–
Civil engineers,410,"1,495",346,"1,551",63,"1,282",393,"1,494",332,"1,524",61,"1,343",389,"1,504",350,"1,526",39,–
Computer hardware engineers,70,"1,772",60,"1,852",11,–,73,"1,771",60,"1,793",13,–,58,"1,843",46,–,12,–
Electrical and electronics engineers,282,"1,646",251,"1,661",31,–,276,"1,803",245,"1,772",30,–,271,"1,729",245,"1,736",26,–
Environmental engineers,35,–,30,–,5,–,32,–,21,–,11,–,31,–,27,–,5,–
"Industrial engineers, including health and safety",245,"1,499",191,"1,571",54,"1,163",213,"1,496",168,"1,520",46,–,215,"1,526",169,"1,580",46,–
Marine engineers and naval architects,15,–,15,–,0,–,7,–,7,–,0,–,19,–,18,–,1,–
Materials engineers,42,–,32,–,10,–,32,–,28,–,5,–,26,–,21,–,5,–
Mechanical engineers,313,"1,562",282,"1,581",31,–,337,"1,534",311,"1,533",26,–,335,"1,560",311,"1,567",24,–
"Mining and geological engineers, including mining safety engineers",8,–,6,–,2,–,12,–,10,–,1,–,8,–,7,–,0,–
Nuclear engineers,13,–,12,–,1,–,7,–,7,–,0,–,8,–,7,–,1,–
Petroleum engineers,27,–,22,–,5,–,23,–,17,–,6,–,35,–,32,–,3,–
"Engineers, all other",528,"1,575",463,"1,610",65,"1,356",546,"1,561",473,"1,571",73,"1,436",493,"1,573",430,"1,659",63,"1,401"
Drafters,112,"1,021",91,"1,029",22,–,122,"1,126",100,"1,149",21,–,93,990,83,"1,030",10,–
"Engineering technicians, except drafters",398,"1,129",332,"1,154",66,934,339,"1,053",269,"1,102",70,884,350,997,275,"1,075",75,793
Surveying and mapping technicians,63,984,60,995,3,–,63,"1,109",61,"1,114",2,–,67,811,61,790,5,–
"Life, physical, and social science occupations","1,308","1,270",733,"1,357",575,"1,156","1,238","1,286",674,"1,361",564,"1,183","1,151","1,209",665,"1,319",486,"1,119"
Agricultural and food scientists,30,–,16,–,13,–,25,–,14,–,10,–,32,–,20,–,12,–
Biological scientists,101,"1,250",55,"1,164",46,–,82,"1,140",41,–,41,–,81,"1,346",46,–,35,–
Conservation scientists and foresters,17,–,9,–,8,–,26,–,15,–,11,–,26,–,23,–,4,–
Medical scientists,160,"1,319",80,"1,416",81,"1,156",162,"1,378",82,"1,383",80,"1,270",127,"1,211",69,"1,250",57,"1,169"
"Life scientists, all other",1,–,0,–,1,–,4,–,1,–,3,–,3,–,0,–,3,–
Astronomers and physicists,14,–,14,–,0,–,16,–,15,–,1,–,20,–,16,–,4,–
Atmospheric and space scientists,7,–,6,–,1,–,6,–,4,–,2,–,6,–,5,–,1,–
Chemists and materials scientists,115,"1,284",70,"1,362",45,–,98,"1,425",56,"1,451",41,–,93,"1,306",56,"1,504",36,–
Environmental scientists and geoscientists,80,"1,336",52,"1,427",28,–,80,"1,639",51,"1,746",30,–,79,"1,555",58,"1,591",21,–
"Physical scientists, all other",289,"1,455",169,"1,582",120,"1,341",270,"1,529",147,"1,565",122,"1,409",241,"1,416",131,"1,727",111,"1,323"
Economists,35,–,29,–,6,–,29,–,18,–,12,–,22,–,14,–,9,–
Survey researchers,0,–,0,–,0,–,2,–,1,–,1,–,1,–,1,–,0,–
Psychologists,134,"1,331",35,–,99,"1,255",106,"1,454",35,–,71,"1,437",91,"1,260",25,–,66,"1,187"
Sociologists,5,–,2,–,3,–,2,–,2,–,0,–,4,–,1,–,3,–
Urban and regional planners,28,–,15,–,13,–,34,–,18,–,16,–,34,–,21,–,13,–
Miscellaneous social scientists and related workers,39,–,25,–,14,–,27,–,18,–,9,–,30,–,19,–,11,–
Agricultural and food science technicians,31,–,24,–,7,–,30,–,20,–,10,–,24,–,17,–,6,–
Biological technicians,17,–,10,–,7,–,23,–,8,–,15,–,19,–,11,–,8,–
Chemical technicians,58,"1,002",42,–,17,–,62,"1,013",45,–,16,–,75,919,50,919,25,–
Geological and petroleum technicians,11,–,7,–,4,–,13,–,9,–,4,–,17,–,15,–,2,–
Nuclear technicians,11,–,8,–,3,–,6,–,4,–,2,–,4,–,3,–,1,–
Social science research assistants,0,–,0,–,0,–,4,–,0,–,4,–,1,–,1,–,0,–
"Miscellaneous life, physical, and social science technicians",124,862,66,893,58,856,132,826,70,970,63,766,119,894,62,949,57,826
Community and social service occupations,"2,223",913,754,984,"1,469",886,"2,165",900,747,976,"1,418",857,"2,136",919,759,"1,004","1,377",880
Counselors,705,941,199,"1,004",506,913,650,897,178,901,472,894,657,904,184,892,473,907
Social workers,753,907,141,958,611,897,714,906,122,935,591,900,684,906,127,"1,039",557,884
Probation officers and correctional treatment specialists,105,944,45,–,60,930,90,881,36,–,55,858,100,992,39,–,61,"1,004"
Social and human service assistants,166,749,33,–,133,752,189,739,48,–,141,701,151,736,29,–,122,727
"Miscellaneous community and social service specialists, including health educators and community health workers",62,881,14,–,48,–,68,829,17,–,51,791,83,831,20,–,63,767
Clergy,337,990,268,"1,036",68,855,342,"1,058",297,"1,073",46,–,368,"1,039",315,"1,070",53,893
"Directors, religious activities and education",51,927,27,–,25,–,61,844,36,–,25,–,49,–,23,–,26,–
"Religious workers, all other",45,–,27,–,18,–,50,831,13,–,37,–,42,–,21,–,21,–
Legal occupations,"1,466","1,467",651,"1,910",815,"1,243","1,379","1,443",568,"1,896",811,"1,192","1,294","1,431",562,"1,904",732,"1,152"
Lawyers,853,"1,947",509,"2,202",344,"1,762",781,"1,901",444,"2,105",337,"1,753",745,"1,897",446,"2,086",299,"1,619"
Judicial law clerks,15,–,7,–,8,–,13,–,7,–,6,–,14,–,7,–,7,–
"Judges, magistrates, and other judicial workers",69,"1,602",49,–,19,–,59,"1,742",42,–,17,–,56,"1,560",35,–,21,–
Paralegals and legal assistants,413,948,54,917,359,953,370,945,49,–,321,934,351,874,43,–,308,863
Miscellaneous legal support workers,117,"1,143",32,–,85,"1,109",156,957,26,–,130,904,128,"1,009",30,–,98,867
"Education, training, and library occupations","7,166","1,002","1,915","1,235","5,251",934,"6,978","1,002","1,939","1,202","5,039",935,"6,859",984,"1,877","1,154","4,982",933
Postsecondary teachers,994,"1,439",534,"1,603",460,"1,253",985,"1,312",551,"1,414",434,"1,208",980,"1,247",535,"1,356",445,"1,152"
Preschool and kindergarten teachers,568,648,14,–,555,643,530,657,12,–,518,654,530,626,13,–,518,621
Elementary and middle school teachers,"3,030","1,010",620,"1,148","2,410",982,"2,838","1,023",614,"1,139","2,224",987,"2,836","1,009",605,"1,126","2,231",981
Secondary school teachers,948,"1,141",392,"1,226",556,"1,092",917,"1,139",392,"1,226",524,"1,091",965,"1,111",403,"1,146",562,"1,074"
Special education teachers,324,"1,039",43,–,281,"1,042",386,"1,024",54,"1,051",332,"1,017",313,"1,021",49,–,264,"1,018"
Other teachers and instructors,388,957,172,"1,095",215,840,419,897,155,"1,128",265,820,370,938,156,"1,135",214,786
"Archivists, curators, and museum technicians",37,–,17,–,20,–,42,–,18,–,24,–,36,–,11,–,25,–
Librarians,127,927,29,–,98,910,135,"1,009",31,–,104,972,140,987,23,–,117,980
Library technicians,10,–,3,–,7,–,16,–,2,–,14,–,10,–,2,–,8,–
Teacher assistants,615,556,62,584,553,550,590,550,67,642,523,537,588,523,56,501,532,525
"Other education, training, and library workers",125,"1,095",30,–,95,"1,036",120,"1,049",44,–,77,956,91,"1,107",24,–,67,"1,068"
"Arts, design, entertainment, sports, and media occupations","1,880","1,086","1,052","1,151",828,997,"1,778","1,066","1,013","1,161",765,943,"1,671","1,040",919,"1,139",752,951
Artists and related workers,64,"1,078",46,–,18,–,70,"1,209",43,–,27,–,61,"1,236",38,–,23,–
Designers,684,"1,060",357,"1,169",327,932,600,"1,012",327,"1,172",273,857,586,"1,086",290,"1,267",297,922
Actors,7,–,5,–,2,–,17,–,11,–,6,–,13,–,8,–,5,–
Producers and directors,147,"1,224",98,"1,476",49,–,131,"1,489",89,"1,708",43,–,128,"1,163",78,"1,228",50,"1,030"
"Athletes, coaches, umpires, and related workers",164,"1,044",129,"1,049",35,–,149,898,104,"1,031",45,–,141,826,106,862,35,–
Dancers and choreographers,11,–,4,–,7,–,9,–,4,–,5,–,5,–,2,–,4,–
"Musicians, singers, and related workers",47,–,28,–,19,–,41,–,29,–,12,–,37,–,24,–,13,–
"Entertainers and performers, sports and related workers, all other",17,–,7,–,10,–,24,–,10,–,13,–,13,–,9,–,4,–
Announcers,26,–,22,–,4,–,24,–,18,–,7,–,32,–,24,–,8,–
"News analysts, reporters and correspondents",59,"1,012",29,–,30,–,72,945,30,–,42,–,58,"1,166",30,–,27,–
Public relations specialists,118,"1,313",40,–,78,"1,169",92,"1,339",35,–,57,"1,203",107,"1,228",40,–,67,"1,134"
Editors,124,"1,112",57,"1,104",67,"1,138",124,"1,084",56,"1,123",68,992,120,"1,053",64,"1,112",56,"1,035"
Technical writers,60,"1,318",25,–,35,–,67,"1,222",30,–,37,–,56,"1,253",29,–,27,–
Writers and authors,110,"1,233",42,–,68,"1,036",106,"1,137",50,"1,171",57,"1,045",99,"1,070",39,–,60,983
Miscellaneous media and communication workers,62,880,12,–,51,850,53,809,25,–,28,–,59,745,24,–,36,–
Broadcast and sound engineering technicians and radio operators,73,"1,028",66,"1,038",7,–,81,"1,150",71,"1,160",10,–,80,"1,020",67,"1,099",13,–
Photographers,68,904,51,"1,006",16,–,66,931,40,–,25,–,43,–,24,–,19,–
"Television, video, and motion picture camera operators and editors",35,–,30,–,6,–,46,–,38,–,8,–,31,–,24,–,7,–
"Media and communication equipment workers, all other",4,–,4,–,0,–,5,–,3,–,2,–,1,–,1,–,0,–
Healthcare practitioners and technical occupations,"7,154","1,140","1,800","1,383","5,354","1,078","6,970","1,124","1,724","1,341","5,246","1,068","6,857","1,104","1,706","1,332","5,150","1,036"
Chiropractors,15,–,12,–,3,–,11,–,9,–,2,–,18,–,10,–,7,–
Dentists,56,"1,884",27,–,28,–,41,–,16,–,25,–,61,"1,850",34,–,27,–
Dietitians and nutritionists,70,967,8,–,63,940,88,991,8,–,80,996,82,986,11,–,71,997
Optometrists,29,–,13,–,15,–,19,–,6,–,13,–,18,–,3,–,15,–
Pharmacists,263,"2,071",98,"2,271",165,"1,890",254,"1,923",107,"2,228",147,"1,834",222,"1,924",89,"2,096",133,"1,839"
Physicians and surgeons,827,"2,001",475,"2,513",352,"1,677",815,"1,918",463,"2,277",352,"1,759",806,"1,916",497,"2,343",308,"1,476"
Physician assistants,118,"1,752",37,–,80,"1,646",97,"1,747",31,–,66,"1,640",75,"1,544",25,–,50,"1,547"
Podiatrists,4,–,3,–,1,–,7,–,3,–,4,–,4,–,3,–,0,–
Audiologists,8,–,2,–,6,–,13,–,1,–,12,–,11,–,2,–,8,–
Occupational therapists,80,"1,283",16,–,64,"1,252",74,"1,301",12,–,62,"1,273",71,"1,365",10,–,61,"1,315"
