By occupation,Total Number of Workers in 2018,Median weekly earnings in 2018,Total Number of Men Workers in 2018,Median weekly earnings of men in 2018,Total Number of Women Workers in 2018,Median weekly earnings of women in 2018,Total Number of Workers in 2017,Median weekly earnings in 2017,Total Number of Men Workers in 2017,Median weekly earnings of men in 2017,Total Number of Women Workers in 2017,Median weekly earnings of women in 2017,Total Number of Workers in 2016,Median weekly earnings in 2016,Total Number of Men Workers in 2016,Median weekly earnings of men in 2016,Total Number of Women Workers in 2016,Median weekly earnings of women in 2016
Prepress technicians and workers,14,–,11,–,3,–,13,–,8,–,4,–,15,–,8,–,7,–
Printing press operators,137,754,111,804,26,–,151,758,126,789,26,–,170,701,137,748,33,–
Print binding and finishing workers,12,–,6,–,6,–,8,–,4,–,4,–,11,–,9,–,2,–
Laundry and dry-cleaning workers,108,432,32,–,76,416,106,450,27,–,79,443,135,454,55,486,80,436
"Pressers, textile, garment, and related materials",28,–,11,–,18,–,19,–,10,–,9,–,30,–,10,–,20,–
Sewing machine operators,131,498,37,–,94,497,157,519,49,–,108,521,165,437,52,407,114,452
Shoe and leather workers and repairers,1,–,1,–,0,–,1,–,0,–,1,–,4,–,3,–,1,–
Shoe machine operators and tenders,6,–,2,–,3,–,3,–,2,–,1,–,1,–,1,–,0,–
"Tailors, dressmakers, and sewers",43,–,19,–,24,–,31,–,10,–,21,–,32,–,7,–,25,–
Textile bleaching and dyeing machine operators and tenders,0,–,0,–,0,–,0,–,0,–,0,–,0,–,0,–,0,–
"Textile cutting machine setters, operators, and tenders",7,–,7,–,0,–,6,–,2,–,4,–,7,–,4,–,3,–
"Textile knitting and weaving machine setters, operators, and tenders",5,–,2,–,3,–,17,–,8,–,9,–,13,–,2,–,11,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",3,–,2,–,1,–,12,–,4,–,8,–,6,–,2,–,4,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,–,0,–,0,–,0,–,0,–,0,–,0,–,0,–,0,–
Fabric and apparel patternmakers,3,–,0,–,3,–,1,–,0,–,1,–,1,–,1,–,0,–
Upholsterers,19,–,14,–,5,–,22,–,18,–,4,–,20,–,19,–,1,–
"Textile, apparel, and furnishings workers, all other",14,–,7,–,7,–,19,–,10,–,9,–,13,–,11,–,2,–
Cabinetmakers and bench carpenters,47,–,44,–,3,–,38,–,36,–,2,–,35,–,30,–,5,–
Furniture finishers,15,–,13,–,2,–,8,–,7,–,1,–,9,–,8,–,1,–
"Model makers and patternmakers, wood",0,–,0,–,0,–,1,–,1,–,0,–,0,–,0,–,0,–
"Sawing machine setters, operators, and tenders, wood",32,–,27,–,4,–,26,–,26,–,0,–,31,–,27,–,4,–
"Woodworking machine setters, operators, and tenders, except sawing",23,–,13,–,10,–,16,–,12,–,4,–,23,–,19,–,4,–
"Woodworkers, all other",11,–,11,–,0,–,19,–,15,–,4,–,17,–,15,–,1,–
"Power plant operators, distributors, and dispatchers",33,–,32,–,1,–,47,–,45,–,2,–,39,–,37,–,2,–
Stationary engineers and boiler operators,84,"1,073",82,"1,086",2,–,76,"1,088",72,"1,142",4,–,77,924,72,954,4,–
Water and wastewater treatment plant and system operators,99,943,94,940,5,–,107,907,102,910,5,–,76,883,72,885,3,–
Miscellaneous plant and system operators,35,–,35,–,0,–,41,–,34,–,6,–,42,–,38,–,3,–
"Chemical processing machine setters, operators, and tenders",65,894,57,899,8,–,58,877,55,879,3,–,50,924,46,–,4,–
"Crushing, grinding, polishing, mixing, and blending workers",83,672,78,673,5,–,70,771,62,795,8,–,88,643,82,642,6,–
Cutting workers,56,595,43,–,12,–,51,521,40,–,12,–,62,576,50,546,13,–
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",17,–,14,–,3,–,13,–,10,–,3,–,24,–,19,–,4,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",20,–,15,–,4,–,5,–,5,–,0,–,11,–,10,–,1,–
"Inspectors, testers, sorters, samplers, and weighers",756,771,490,868,267,679,717,765,443,853,275,637,686,714,445,834,241,584
Jewelers and precious stone and metal workers,20,–,13,–,7,–,24,–,20,–,5,–,18,–,11,–,7,–
"Medical, dental, and ophthalmic laboratory technicians",74,741,33,–,41,–,57,598,16,–,40,–,64,615,33,–,31,–
Packaging and filling machine operators and tenders,250,529,110,602,140,496,275,553,128,598,147,516,224,488,112,574,113,425
Painting workers,159,710,142,725,16,–,131,693,117,705,14,–,158,701,147,713,11,–
Photographic process workers and processing machine operators,15,–,11,–,4,–,23,–,16,–,7,–,23,–,11,–,12,–
Semiconductor processors,1,–,1,–,0,–,2,–,0,–,2,–,2,–,2,–,0,–
Adhesive bonding machine operators and tenders,8,–,5,–,3,–,4,–,4,–,0,–,12,–,7,–,5,–
"Cleaning, washing, and metal pickling equipment operators and tenders",6,–,6,–,0,–,10,–,8,–,2,–,2,–,2,–,0,–
Cooling and freezing equipment operators and tenders,4,–,4,–,0,–,2,–,1,–,1,–,0,–,0,–,0,–
Etchers and engravers,8,–,6,–,2,–,5,–,3,–,2,–,3,–,3,–,0,–
"Molders, shapers, and casters, except metal and plastic",28,–,27,–,0,–,25,–,21,–,4,–,16,–,14,–,2,–
"Paper goods machine setters, operators, and tenders",20,–,16,–,4,–,28,–,23,–,5,–,27,–,21,–,7,–
Tire builders,5,–,5,–,0,–,10,–,10,–,0,–,11,–,10,–,1,–
Helpers--production workers,37,–,26,–,10,–,30,–,19,–,11,–,25,–,23,–,3,–
"Production workers, all other",992,678,729,725,263,566,890,663,653,716,238,570,887,622,641,690,246,515
Transportation and material moving occupations,"7,542",689,"6,305",724,"1,237",538,"7,236",681,"6,160",710,"1,075",514,"7,093",662,"6,097",685,997,540
Supervisors of transportation and material moving workers,197,850,152,878,45,–,192,881,160,919,31,–,165,807,126,843,39,–
Aircraft pilots and flight engineers,98,"1,743",91,"1,837",7,–,112,"1,736",105,"1,750",7,–,119,"1,582",112,"1,600",7,–
Air traffic controllers and airfield operations specialists,38,–,35,–,3,–,16,–,11,–,5,–,28,–,19,–,10,–
Flight attendants,74,878,21,–,53,822,71,860,20,–,51,873,68,873,19,–,49,–
"Ambulance drivers and attendants, except emergency medical technicians",8,–,8,–,0,–,8,–,7,–,1,–,15,–,13,–,2,–
Bus drivers,361,655,216,735,144,599,356,605,209,671,148,517,343,641,197,691,146,589
Driver/sales workers and truck drivers,"2,791",817,"2,636",829,155,559,"2,828",797,"2,689",807,139,589,"2,809",780,"2,689",787,120,630
Taxi drivers and chauffeurs,399,611,341,628,58,450,362,604,308,623,54,453,261,580,222,595,38,–
"Motor vehicle operators, all other",39,–,34,–,5,–,33,–,28,–,5,–,25,–,23,–,2,–
Locomotive engineers and operators,34,–,30,–,5,–,43,–,36,–,7,–,45,–,45,–,0,–
"Railroad brake, signal, and switch operators",3,–,3,–,0,–,5,–,5,–,0,–,3,–,3,–,1,–
Railroad conductors and yardmasters,54,"1,132",50,"1,143",4,–,42,–,39,–,2,–,52,"1,160",51,"1,148",1,–
"Subway, streetcar, and other rail transportation workers",17,–,17,–,0,–,9,–,7,–,2,–,13,–,13,–,1,–
Sailors and marine oilers,21,–,20,–,1,–,19,–,19,–,0,–,15,–,14,–,1,–
Ship and boat captains and operators,30,–,29,–,1,–,29,–,29,–,0,–,28,–,26,–,1,–
Ship engineers,7,–,7,–,0,–,3,–,3,–,0,–,4,–,4,–,0,–
Bridge and lock tenders,5,–,5,–,0,–,5,–,3,–,2,–,3,–,3,–,0,–
Parking lot attendants,61,575,54,575,8,–,65,560,49,–,16,–,67,519,62,513,4,–
Automotive and watercraft service attendants,70,570,56,575,14,–,80,514,73,535,7,–,73,462,67,456,5,–
Transportation inspectors,37,–,34,–,3,–,41,–,33,–,8,–,25,–,20,–,5,–
"Transportation attendants, except flight attendants",19,–,5,–,13,–,21,–,11,–,10,–,20,–,10,–,10,–
Other transportation workers,19,–,18,–,0,–,20,–,19,–,1,–,31,–,24,–,7,–
Conveyor operators and tenders,4,–,4,–,0,–,1,–,1,–,0,–,4,–,4,–,0,–
Crane and tower operators,64,"1,122",60,"1,079",3,–,52,902,51,898,1,–,66,909,66,909,0,–
"Dredge, excavating, and loading machine operators",19,–,19,–,0,–,29,–,28,–,1,–,27,–,27,–,0,–
Hoist and winch operators,8,–,8,–,0,–,6,–,6,–,0,–,11,–,10,–,0,–
Industrial truck and tractor operators,596,641,549,641,48,–,584,624,538,632,46,–,564,602,510,604,54,563
Cleaners of vehicles and equipment,232,538,192,536,40,–,237,530,197,531,40,–,252,491,224,487,28,–
"Laborers and freight, stock, and material movers, hand","1,595",603,"1,277",620,318,541,"1,450",578,"1,196",595,254,500,"1,417",566,"1,196",580,221,509
Machine feeders and offbearers,25,–,15,–,10,–,29,–,14,–,15,–,27,–,14,–,13,–
"Packers and packagers, hand",490,495,205,516,285,484,368,480,158,500,210,462,383,456,166,468,216,437
Pumping station operators,16,–,16,–,0,–,19,–,19,–,0,–,13,–,11,–,1,–
Refuse and recyclable material collectors,63,524,55,536,8,–,56,522,49,–,7,–,68,562,64,584,4,–
Mine shuttle car operators,0,–,0,–,0,–,0,–,0,–,0,–,0,–,0,–,0,–
"Tank car, truck, and ship loaders",6,–,6,–,0,–,6,–,6,–,0,–,3,–,2,–,0,–
"Material moving workers, all other",41,–,37,–,4,–,41,–,34,–,6,–,46,–,40,–,6,–
